"Mmap read open2close bandwidth 33.55",3178.10
"Mmap read open2close bandwidth 67.11",3151.54
"Mmap read open2close bandwidth 134.22",3253.84
"Mmap read open2close bandwidth 268.44",3373.03
"Mmap read open2close bandwidth 536.87",3503.03
"Mmap read open2close bandwidth 1073.74",3662.61
"Mmap read open2close bandwidth 2147.48",3787.92
"libc bcopy unaligned 0.000512",34408.48
"libc bcopy unaligned 0.001024",38990.06
"libc bcopy unaligned 0.002048",41636.10
"libc bcopy unaligned 0.004096",43090.22
"libc bcopy unaligned 0.008192",43839.84
"libc bcopy unaligned 0.016384",35328.85
"libc bcopy unaligned 0.032768",16908.43
"libc bcopy unaligned 0.065536",16963.94
"libc bcopy unaligned 0.131072",17503.01
"libc bcopy unaligned 0.262144",16187.88
"libc bcopy unaligned 0.524288",14638.96
"libc bcopy unaligned 1.05",11266.93
"libc bcopy unaligned 2.10",10400.33
"libc bcopy unaligned 4.19",10166.25
"libc bcopy unaligned 8.39",9065.50
"libc bcopy unaligned 16.78",7425.74
"libc bcopy unaligned 33.55",7435.06
"libc bcopy unaligned 67.11",7452.40
"libc bcopy unaligned 134.22",7464.00
"libc bcopy unaligned 268.44",7467.33
"libc bcopy unaligned 536.87",7465.87
"libc bcopy unaligned 1073.74",7471.59
"libc bcopy aligned 0.000512",34600.79
"libc bcopy aligned 0.001024",39390.00
"libc bcopy aligned 0.002048",41704.19
"libc bcopy aligned 0.004096",43193.24
"libc bcopy aligned 0.008192",43903.58
"libc bcopy aligned 0.016384",35982.01
"libc bcopy aligned 0.032768",16842.97
"libc bcopy aligned 0.065536",16848.71
"libc bcopy aligned 0.131072",16261.78
"libc bcopy aligned 0.262144",15287.23
"libc bcopy aligned 0.524288",14568.88
"libc bcopy aligned 1.05",11416.18
"libc bcopy aligned 2.10",10517.69
"libc bcopy aligned 4.19",10153.94
"libc bcopy aligned 8.39",9021.63
"libc bcopy aligned 16.78",7429.03
"libc bcopy aligned 33.55",7449.09
"libc bcopy aligned 67.11",7462.34
