"Mmap read open2close bandwidth 33.55",3198.10
"Mmap read open2close bandwidth 67.11",3199.01
"Mmap read open2close bandwidth 134.22",3247.54
"Mmap read open2close bandwidth 268.44",3411.78
"Mmap read open2close bandwidth 536.87",3544.33
"Mmap read open2close bandwidth 1073.74",3641.74
"Mmap read open2close bandwidth 2147.48",3801.66
"libc bcopy unaligned 0.000512",34422.85
"libc bcopy unaligned 0.001024",39123.71
"libc bcopy unaligned 0.002048",41702.25
"libc bcopy unaligned 0.004096",43095.61
"libc bcopy unaligned 0.008192",43865.98
"libc bcopy unaligned 0.016384",32654.76
"libc bcopy unaligned 0.032768",16973.62
"libc bcopy unaligned 0.065536",16948.56
"libc bcopy unaligned 0.131072",17422.56
"libc bcopy unaligned 0.262144",16186.53
"libc bcopy unaligned 0.524288",14646.53
"libc bcopy unaligned 1.05",11252.83
"libc bcopy unaligned 2.10",10391.47
"libc bcopy unaligned 4.19",10163.27
"libc bcopy unaligned 8.39",9011.93
"libc bcopy unaligned 16.78",7424.64
"libc bcopy unaligned 33.55",7435.89
"libc bcopy unaligned 67.11",7441.66
"libc bcopy unaligned 134.22",7462.34
"libc bcopy unaligned 268.44",7468.16
"libc bcopy unaligned 536.87",7465.87
"libc bcopy unaligned 1073.74",7466.65
"libc bcopy aligned 0.000512",34600.79
"libc bcopy aligned 0.001024",39408.09
"libc bcopy aligned 0.002048",41715.87
"libc bcopy aligned 0.004096",43208.93
"libc bcopy aligned 0.008192",43780.98
"libc bcopy aligned 0.016384",34508.98
"libc bcopy aligned 0.032768",16887.66
"libc bcopy aligned 0.065536",16920.20
"libc bcopy aligned 0.131072",16332.48
"libc bcopy aligned 0.262144",15244.97
"libc bcopy aligned 0.524288",14574.28
"libc bcopy aligned 1.05",11405.83
"libc bcopy aligned 2.10",10512.04
"libc bcopy aligned 4.19",10228.23
"libc bcopy aligned 8.39",8949.44
"libc bcopy aligned 16.78",7412.61
"libc bcopy aligned 33.55",7435.89
"libc bcopy aligned 67.11",7459.86
"libc bcopy aligned 134.22",7465.25
"libc bcopy aligned 268.44",7471.48
"libc bcopy aligned 536.87",7472.94
"libc bcopy aligned 1073.74",7473.93
"Memory bzero bandwidth 0.000512",38617.55
"Memory bzero bandwidth 0.001024",41420.02
"Memory bzero bandwidth 0.002048",42964.12
"Memory bzero bandwidth 0.004096",43780.98
"Memory bzero bandwidth 0.008192",42799.58
"Memory bzero bandwidth 0.016384",43699.61
"Memory bzero bandwidth 0.032768",39889.15
"Memory bzero bandwidth 0.065536",27032.98
"Memory bzero bandwidth 0.131072",26429.27
"Memory bzero bandwidth 0.262144",25484.89
"Memory bzero bandwidth 0.524288",16802.28
"Memory bzero bandwidth 1.05",16298.13
"Memory bzero bandwidth 2.10",16298.13
"Memory bzero bandwidth 4.19",16231.26
"Memory bzero bandwidth 8.39",12935.40
"Memory bzero bandwidth 16.78",6638.31
"Memory bzero bandwidth 33.55",7212.90
"Memory bzero bandwidth 67.11",7175.12
"Memory bzero bandwidth 134.22",7140.76
"Memory bzero bandwidth 268.44",7112.00
"Memory bzero bandwidth 536.87",7094.71
"Memory bzero bandwidth 1073.74",7114.41
"Memory bzero bandwidth 2147.48",7000.74
"unrolled bcopy unaligned 0.000512",10427.94
"unrolled bcopy unaligned 0.001024",10846.41
"unrolled bcopy unaligned 0.002048",10967.92
"unrolled bcopy unaligned 0.004096",11078.31
"unrolled bcopy unaligned 0.008192",11110.90
"unrolled bcopy unaligned 0.016384",10785.61
"unrolled bcopy unaligned 0.032768",8181.55
"unrolled bcopy unaligned 0.065536",8187.54
"unrolled bcopy unaligned 0.131072",7662.52
"unrolled bcopy unaligned 0.262144",7272.54
"unrolled bcopy unaligned 0.524288",7228.93
"unrolled bcopy unaligned 1.05",7218.46
"unrolled bcopy unaligned 2.10",7078.68
"unrolled bcopy unaligned 4.19",6109.69
"unrolled bcopy unaligned 8.39",4045.95
"unrolled bcopy unaligned 16.78",4026.69
"unrolled bcopy unaligned 33.55",4069.67
"unrolled bcopy unaligned 67.11",4066.46
"unrolled bcopy unaligned 134.22",4033.47
"unrolled bcopy unaligned 268.44",4039.24
"unrolled bcopy unaligned 536.87",4069.12
"unrolled bcopy unaligned 1073.74",4033.70
"unrolled partial bcopy unaligned 0.000512",38608.07
"unrolled partial bcopy unaligned 0.001024",41410.21
"unrolled partial bcopy unaligned 0.002048",41278.40
"unrolled partial bcopy unaligned 0.004096",43780.98
"unrolled partial bcopy unaligned 0.008192",44211.81
"unrolled partial bcopy unaligned 0.016384",38860.21
"unrolled partial bcopy unaligned 0.032768",17143.36
"unrolled partial bcopy unaligned 0.065536",17029.88
"unrolled partial bcopy unaligned 0.131072",16297.75
"unrolled partial bcopy unaligned 0.262144",11511.79
"unrolled partial bcopy unaligned 0.524288",11312.83
"unrolled partial bcopy unaligned 1.05",11315.57
"unrolled partial bcopy unaligned 2.10",11201.88
"unrolled partial bcopy unaligned 4.19",8050.49
"unrolled partial bcopy unaligned 8.39",4759.94
"unrolled partial bcopy unaligned 16.78",4864.37
"unrolled partial bcopy unaligned 33.55",4751.41
"unrolled partial bcopy unaligned 67.11",4751.74
"unrolled partial bcopy unaligned 134.22",4764.39
"unrolled partial bcopy unaligned 268.44",4730.22
"unrolled partial bcopy unaligned 536.87",4725.31
"unrolled partial bcopy unaligned 1073.74",4727.87
"Memory read bandwidth 0.000512",7023.44
"Memory read bandwidth 0.001024",7057.32
"Memory read bandwidth 0.002048",7079.71
"Memory read bandwidth 0.004096",7081.47
"Memory read bandwidth 0.008192",7077.61
"Memory read bandwidth 0.016384",7075.25
"Memory read bandwidth 0.032768",7069.24
"Memory read bandwidth 0.065536",7057.35
"Memory read bandwidth 0.131072",7061.20
"Memory read bandwidth 0.262144",6979.74
"Memory read bandwidth 0.524288",6821.24
"Memory read bandwidth 1.05",6817.54
"Memory read bandwidth 2.10",6816.31
"Memory read bandwidth 4.19",6834.82
"Memory read bandwidth 8.39",6506.83
"Memory read bandwidth 16.78",5981.18
"Memory read bandwidth 33.55",5971.60
"Memory read bandwidth 67.11",5980.12
"Memory read bandwidth 134.22",5979.32
"Memory read bandwidth 268.44",5979.98
"Memory read bandwidth 536.87",5982.18
"Memory read bandwidth 1073.74",5980.28
"Memory read bandwidth 2147.48",5981.55
"Memory partial read bandwidth 0.000512",39677.17
"Memory partial read bandwidth 0.001024",42017.67
"Memory partial read bandwidth 0.002048",42956.32
"Memory partial read bandwidth 0.004096",43469.62
"Memory partial read bandwidth 0.008192",43757.49
"Memory partial read bandwidth 0.016384",43977.48
"Memory partial read bandwidth 0.032768",43752.15
"Memory partial read bandwidth 0.065536",29678.70
"Memory partial read bandwidth 0.131072",29640.71
"Memory partial read bandwidth 0.262144",25889.57
"Memory partial read bandwidth 0.524288",22304.07
"Memory partial read bandwidth 1.05",22193.09
"Memory partial read bandwidth 2.10",22202.04
"Memory partial read bandwidth 4.19",22349.75
"Memory partial read bandwidth 8.39",18210.91
"Memory partial read bandwidth 16.78",12022.37
"Memory partial read bandwidth 33.55",11924.11
"Memory partial read bandwidth 67.11",11960.23
"Memory partial read bandwidth 134.22",11977.31
"Memory partial read bandwidth 268.44",11991.76
"Memory partial read bandwidth 536.87",11974.64
"Memory partial read bandwidth 1073.74",11968.10
"Memory partial read bandwidth 2147.48",11973.97
