0,0.000000,0.000000
0,0.000000,0.000000
1,0.830680,0.808429
2,2.806840,1.620488
3,4.438440,2.432526
4,6.414663,3.224881
6,8.709403,4.814480
8,11.473395,6.486393
12,20.718354,9.662572
13,20.612801,10.653759
16,24.035221,13.086458
19,30.174546,15.494277
21,32.264149,17.019452
24,38.411931,19.426898
27,38.372278,21.807008
29,45.976670,23.504690
32,48.091222,26.072651
35,49.452673,28.394093
45,63.223114,36.387496
48,69.806080,38.944346
51,81.064890,41.378389
61,85.359117,48.890678
64,90.023967,52.306650
67,94.538033,54.107017
93,142.285071,73.996026
96,134.650306,78.109479
99,150.461378,79.639008
125,202.835160,101.870306
128,182.513051,102.584131
131,184.583880,105.207554
189,288.707180,152.325746
192,296.382877,153.580443
195,338.475948,157.470843
253,419.796260,203.371594
256,361.884783,207.260311
259,381.543094,209.208557
381,550.632317,304.496594
384,540.441792,309.321009
387,629.819729,311.512737
509,800.524319,407.918257
512,791.613467,417.377066
515,760.746554,417.057647
765,1255.773006,607.554538
768,1198.203206,615.841323
771,1185.367557,615.790581
1021,1687.690256,806.829963
1024,1780.424519,821.519275
1027,1808.492656,813.223454
1533,2291.779350,1175.277887
1536,2209.213043,1176.027797
1539,2360.563212,1187.178418
2045,2806.747541,1557.619780
2048,2904.123592,1552.279344
2051,2830.516152,1573.600639
3069,4236.940124,2289.170385
3072,4916.782469,2309.282382
3075,4553.337939,2303.319733
4093,5638.289576,3038.114146
4096,6001.682391,3049.985412
4099,6324.925184,3085.962875
6141,8448.551660,4369.204197
6144,8313.841775,4429.441296
6147,8631.666999,4393.397318
8189,11618.842544,5618.610293
8192,10697.852249,5765.582789
8195,10632.844803,5734.615919
12285,14759.610385,8111.821966
12288,15452.944144,8029.422854
12291,15291.346017,8011.721612
16381,18345.417950,9914.105254
16384,18323.382896,9931.365457
16387,16564.881212,10014.620715
24573,23973.030799,13115.850654
24576,25540.207282,13191.817332
24579,25487.213204,13248.541619
32765,23123.518510,16065.071004
32768,24872.612696,15988.118706
32771,23752.441703,16130.710483
49149,26466.732899,18342.136718
49152,27032.125607,18350.935665
49155,26224.282355,18338.448059
65533,31233.424929,18196.570938
65536,31226.604283,18214.802922
65539,31314.470519,18242.673823
98301,38698.648899,23229.301943
98304,39333.053527,23247.647951
98307,38984.468504,23245.279442
131069,42129.898557,26665.336796
131072,41558.643357,26710.326597
131075,41721.626960,26701.756652
196605,47058.991194,30762.201858
196608,47782.447137,30837.003744
196611,47073.970911,30783.999204
262141,50253.204943,30933.722974
262144,50266.813873,30993.014649
262147,50544.262770,31104.800717
393213,53827.794383,35031.818731
393216,53986.222481,35062.206722
393219,54073.080248,35088.899546
524285,55552.559641,38641.648633
524288,55520.194702,38616.610336
524291,55761.076943,38599.693744
786429,57065.111146,40258.328195
786432,57356.325398,40277.624668
786435,57087.427724,40250.142747
1048573,58653.165896,41529.572298
1048576,58890.684630,41674.250426
1048579,59259.551885,41756.623138
1572861,59769.804303,41854.325880
1572864,59760.674694,41945.707445
1572867,59760.861790,41940.265432
2097149,60054.843915,38873.580039
2097152,60031.849414,39523.558658
2097155,60099.787244,39530.761743
3145725,55854.722753,27878.527205
3145728,53377.918667,27979.612212
3145731,53474.467260,26631.241941
4194301,44386.011033,21646.666832
4194304,43945.483751,22107.208062
4194307,43840.849988,22121.941004
6291453,35480.228814,23826.072551
6291456,36154.265389,23735.088420
6291459,36047.894470,23729.747104
8388605,35184.404022,23972.748578
8388608,35038.957287,23897.975699
8388611,35052.969879,23914.934232
12582909,35090.470980,24258.087732
12582912,35012.025468,24284.783040
12582915,35055.710471,24282.696518
16777213,35192.913071,23935.859307
16777216,35002.124350,23921.364537
16777219,34927.174768,23920.341648
